"id";"lettre";"mot";"enonce";"interp";"regle"
"1472";"C";"Cabinet of the sovereign or judge ";"See oneself in dream presented in Diwan (office of Sultan) however he is not worthy,   ";"announces that it could mean the approach of death. If one who is presented him is his opponent, he would have committed sins. If on the contrary he is content, this could involve the satisfaction of the Almighty towards him.";
"1473";"C";"Cage ";"See oneself in dream buying a cage and put a hen inside,   ";"announces that he could buy a house and settle his wife.";
"1474";"C";"Cage ";"See oneself in dream taking a ride in the market with a cage on his head,   ";"announces that he could sell his house in the presence of witnesses.";
"1475";"C";"Cage ";"The woman, who sees in dream a cage,   ";"announces that it could involve the purchase of a house, marriage as well as a boy in case she would be pregnant. It could involve also difficulties or imprisonment.  ";
"1476";"C";"Cake made of starch and honey ";"See oneself in dream eating a cake made of starch and honey while performing a prayer,   ";"announces that he could kiss his wife while fasting.";
"1477";"C";"Calf, Veal ";"See in dream someone offering him a small calf,   ";"announces that it could be a child.";
"1478";"C";"Calf, Veal ";"The woman, who sees in dream a cow giving birth to veal,   ";"announces that it could involve a blessed boy in case she would be pregnant. It could involve also sorrows or a behavior displeasing the Almighty.  ";
"1479";"C";"Calf, Veal ";"The woman, who sees in dream veal,   ";"announces that it could involve a blessed boy in case she would be pregnant. It could involve also sorrows or a behavior displeasing the Almighty.  ";
"1480";"C";"Calf, Veal ";"The woman, who sees in dream that someone offered her veal,   ";"announces that it could involve a blessed boy in case she would be pregnant. It could involve also sorrows or a behavior displeasing the Almighty.  ";
"1481";"C";"Calf, Veal ";"The woman, who sees herself in dream eating the meat of veal,   ";"announces that it could involve a fortune from a man or a woman.";
"1482";"C";"Calf, Veal ";"The woman, who sees in dream veal with golden finery,   ";"announces that it could involve happiness.  ";
"1483";"C";"Calf, Veal ";"The woman, who sees herself in dream a veal wearing clothes,   ";"announces that it could involve happiness.  ";
"1484";"C";"Calf, Veal ";"The woman, who sees in dream a roasted veal,   ";"announces that it could involve safety. Indeed, Allah the Almighty said “There came Our Messengers to Ibrahim with glad tidings. They said, ""Peace! ""he answered, ""Peace!"" and hastened to entertain them with a roasted calf.“, (Houd, 69).";
"1485";"C";"Calf, Veal ";"The woman, who sees herself in dream taking a veal and introduce it into her house,   ";"announces that it could involve sorrows.  ";
"1486";"C";"Calf, Veal ";"The woman, who sees in dream obese veal,   ";"announces that it could involve victory on the enemies as well as the childbirth of a boy in case she would be pregnant.  ";
"1487";"C";"Calf, Veal ";"See in dream a cow in his house, sucking milk from her calf,   ";"announces that it could mean a woman encouraging her daughter to adultery.";
"1488";"C";"Calf, Veal ";"See oneself in dream having an obese roast veal,   ";"announces that it could mean very good news that would be realized quickly, fortune, prosperity and security,";
"1489";"C";"Calf, Wild calf ";"See oneself in dream having a calf of the family of wild beefs,   ";"announces that it could mean a boy.";
"1490";"C";"Call for prayer (Adzan) ";"See oneself in a dream hearing the call to prayer (adzan) in a Souk,   ";"announces that a man could die in this souk.";
"1491";"C";"Call for prayer (Adzan) ";"See in a dream a donkey calling for prayer,   ";"announces that a miscreant could miraculously convert to Islam and eventually become a preacher on the path of truth.";
"1492";"C";"Call for prayer (Adzan) ";"See oneself in a dream hearing the call to prayer (Adzan) and not love,   ";"announces that he could be involved in a bad deal.";
"1493";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) in a caravan,   ";"announces that he could be involved in a robbery case. Indeed, Allah The Almighty said « At length when he had furnished them forth with provisions (suitable) for them, he put the drinking cup into his brother’s saddle-bag. Then shouted out a Crier: ‘’O ye (in) the Caravan! Behold! Ye are thieves, without doubt!’’», (Yoûsouf, 70).";
"1494";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (Adzan) in a crowd that does not respond to the call,   ";"announces that he could be related to unjust people. «The Companions of the Garden will call out to the Companions of the Fire: ‘’We have indeed found the promises of our Lord to us true: have you also found your Lord’s promises true?’’ They shall say, ‘’Yes’’; but a Crier shall proclaim between them: ‘’The curse of Allah is on the wrong-doers. », (Al-Aaraf, 44).";
"1495";"C";"Call for prayer (Adzan) ";"See oneself in a dream wearing an Arabic turban on his head and calling to prayer (Adzan),   ";"announces that he could copulate a woman.";
"1496";"C";"Call for prayer (Adzan) ";"Se oneself in a dream calling to prayer (adzan) as a play and diversion,   ";"announces that he could lose the reason or going crazy. Indeed, Allah the Almighty said « When ye proclaim your call to prayer, they take it (but) as mockery and sport; that is because they are a people without understanding. », (Al-Maida, 58 ).";
"1497";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling for prayer from the top of a minaret,   ";"announces that he could travel for pilgrimage or preaching in the way of truth.";
"1498";"C";"Call for prayer (Adzan) ";"See oneself in a dream naked –without clothes-, calling for prayer (adzan) inside a mosque,   ";"announces that he could travel on a pilgrimage in case the dream is done during the pilgrimage season.";
"1499";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (twice adzan and once ikamat) and completing a mandatory prayer,   ";"announces that he could travel on pilgrimage and Umrah. Indeed, Allah The Almighty said «’’And proclaim the Pilgrimage among men; they will come to thee on foot and (mounted) on every kind of camel, lean on account of journeys through deep and distant mountain highways; », (Al-Hajj, 27).";
"1500";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (and adzan Ikamat) and completing a mandatory prayer,   ";"announces that he could travel on pilgrimage and Umrah. Indeed, Allah The Almighty said «’’And proclaim the Pilgrimage among men; they will come to thee on foot and (mounted) on every kind of camel, lean on account of journeys through deep and distant mountain highways; », (Al-Hajj, 27).";
"1501";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) in an orchard,   ";"announces that he could travel on pilgrimage.";
"1502";"C";"Call for prayer (Adzan) ";"See oneself in a dream mounting unknown stairs while calling to prayer (adzan),   ";"announces that he could travel on pilgrimage. Otherwise and outside the pilgrimage season, it could men power and reputation in the field of fatwa, sermons, power, Adzan and other.";
"1503";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) in a room,   ";"announces that he might be concerned about reconciliation with a woman.";
"1504";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) while altering the normal expression of this call,   ";"announces that he might be unjust towards some people.";
"1505";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) while adding words that do not exist in the normal expression of this call,   ";"announces that he might be unjust towards some people.";
"1506";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) while removing the words that exist in the normal expression of this call,   ";"announces that he might be unjust towards some people.";
"1507";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) from the top of the Ka‘ba,   ";"announces that he might commit heresy.";
"1508";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) inside a well,   ";"announces that he might encourage people on a journey to a faraway place.";
"1509";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) in a street,   ";"announces that he might encourage people to good deeds. This is for the virtuous. For non- virtuous, it could mean a disaster.";
"1510";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) from the top of a mound,   ";"announces that he might have a good reputation or sovereignty. He could become a judge, Mufti, Muezzin or preacher if he is worthy.";
"1511";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) from the top of a wall,   ";"announces that he would be concerned about the reconciliation with a man.";
"1512";"C";"Call for prayer (Adzan) ";"See oneself in a dream getting into a cemetery while calling to prayer (adzan),   ";"announces that he would be wasting his time with inattentive, ignorant people or unbelievers who do not grant any interest in his calls to return to the right way.";
"1513";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer on the terrace of his neighbor,   ";"announces that he would deceive this neighbor with his wife.";
"1514";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (both adzan and Ikamat),   ";"announces that he would help revive the Sunnah and combat heresy.";
"1515";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) in a dump,   ";"announces that he would reconcile with a woman, but without positive result. ";
"1516";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer in front of the house of sovereign (Sultan),   ";"announces that he would say truthful things.";
"1517";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer in the Sacred Mosque (the Mosque of Mecca -Al??Haram),   ";"announces that he would travel on pilgrimage.";
"1518";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) inside the Ka’ba,   ";"announces that it could be a bad dream.";
"1519";"C";"Call for prayer (Adzan) ";"See oneself in a dream in a public bathroom (Hammam),   ";"announces that it could be a bad dream. It could mean that he would have a headache or that would be a perverse person encouraging adultery.";
"1520";"C";"Call for prayer (Adzan) ";"The woman, who sees in dream herself calling her family for prayer,   ";"announces that it could mean a misfortune.";
"1521";"C";"Call for prayer (Adzan) ";"See oneself in a dream descending into a well and arriving in the middle, hearing the call to prayer (adzan),   ";"announces that it could mean a trip. It could mean also the dismissal to the ruler or loss for the trader.";
"1522";"C";"Call for prayer (Adzan) ";"See oneself in a dream becoming Muezzin,   ";"announces that it could mean power for one who is worthy and who is not actually Muezzin.";
"1523";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (Adzan) from the top of a hill,   ";"announces that it could mean reputation and sovereignty for one who is worthy. He could also become a judge, Mufti, Muezzin or preacher if he is worthy.";
"1524";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) from the top of a house,   ";"announces that it could mean the approach of death of a person in this house.";
"1525";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (and adzan Ikamat) and performing a prayer,   ";"announces that it could mean the approach of his death.";
"1526";"C";"Call for prayer (Adzan) ";"See in a dream a boy calling to prayer,   ";"announces that it could mean the confirmation of the innocence of the parents of this boy following a defamation or false accusation. This as it was mentioned in the Holy Quran in the context of the story of Jesus peace upon him.";
"1527";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) on a mountain, pronouncing the usual call in the Sunna and heading towards the Qibla,   ";"announces that it could mean the consolidation of his reputation and that according to the scope of his voice in the dream.";
"1528";"C";"Call for prayer (Adzan) ";"The woman, who sees in dream herself calling to prayer from the minaret of a mosque,   ";"announces that it could mean the emergence of a serious heresy in the country.";
"1529";"C";"Call for prayer (Adzan) ";"See in a dream the Messenger of Allah, peace and blessings be upon him, calling for prayer in a place,   ";"announces that it could mean the populating and prosperity in this area.";
"1530";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) on a hillock,   ";"announces that it could mean the power through a non-Arabic man, for one who is worthy. Otherwise, he might have a good reputation, a thriving trade, an interesting job or sovereignty. He could become a judge, Mufti, Muezzin or preacher if he is worthy.";
"1531";"C";"Call for prayer (Adzan) ";"See oneself in a dream calling to prayer (adzan) from the top of the bedrock,   ";"announces that it could mean the power through a non-Arabic man, for one who is worthy. Otherwise, he might have a good reputation, a thriving trade, an interesting job or sovereignty. He could become a judge, Mufti, Muezzin or preacher if he is worthy. ";
"1532";"C";"Call for prayer (Adzan) ";"See in a dream the Messenger of Allah, peace and blessings be upon him, calling for prayer in a ruined place,   ";"announces that it could mean the restoration and redevelopment of this area.";
"1533";"C";"Call for prayer (Adzan) ";"See oneself in dream getting into a Church by pronouncing the Appeal to prayer (Adzan),   ";"announces that it could mean victory in case of war or he would be concerned about guiding people to right path.";
"1534";"C";"Call for prayer (Ikamat) ";"See oneself in a dream calling to prayer (twice adzan and once ikamat) and completing a mandatory prayer,   ";"announces that he could travel on pilgrimage and Umrah. Indeed, Allah The Almighty said «’’And proclaim the Pilgrimage among men; they will come to thee on foot and (mounted) on every kind of camel, lean on account of journeys through deep and distant mountain highways; », (Al-Hajj, 27).";
"1535";"C";"Call for prayer (Ikamat) ";"See oneself in a dream calling to prayer (and adzan Ikamat) and completing a mandatory prayer,   ";"announces that he could travel on pilgrimage and Umrah. Indeed, Allah The Almighty said «’’And proclaim the Pilgrimage among men; they will come to thee on foot and (mounted) on every kind of camel, lean on account of journeys through deep and distant mountain highways; », (Al-Hajj, 27).";
"1536";"C";"Call for prayer (Ikamat) ";"See oneself in a dream calling to prayer (both adzan and Ikamat),   ";"announces that he would help revive the Sunnah and combat heresy.";
"1537";"C";"Call for prayer (Ikamat) ";"See oneself in dream calling to prayer (Ikama),   ";"announces that it could mean good eulogies following an affair or an important act. It could also mean freedom for the prisoner. Indeed, Allah The Almighty said ‘’But when the forbidden months are past, then fight and slay the Pagans wherever ye find them, and seize them, beleaguer them, and lie in wait for them in every stratagem (of war); but if they repent, and establish regular prayers and practices regular charity, then open the way for them: for Allah is Oft-Forgiving, Most Merciful.”, (At-Tawba, 5).";
"1538";"C";"Call for prayer (Ikamat) ";"See in a dream the Messenger of Allah, peace and blessings be upon him calling for prayer (Ikamat) and performing it in a place,   ";"announces that it could mean reconciliation among members of the Muslim community. ";
"1539";"C";"Call for prayer (Ikamat) ";"See oneself in dream perform a prayer on a bed in front of his house,   ";"announces that it could mean the approach of death in case he is sick or there would evidence in the wakeful state supporting this interpretation.";
"1540";"C";"Call for prayer (Ikamat) ";"See oneself in a dream calling to prayer (and adzan Ikamat) and performing a prayer,   ";"announces that it could mean the approach of his death.";
"1541";"C";"Call, Appeal ";"See oneself in a dream having a different name than his own name,   ";"announces that it could be good or bad for him depending on the significance of the new name given in the dream.";
"1542";"C";"Call, Appeal ";"See in dream Allah The Almighty calling him by a name other than his own,   ";"announces that it could mean a high rank as well as a victory over the enemies.";
"1543";"C";"Call, Appeal ";"See in dream Allah The Almighty calling him by his own name,   ";"announces that it could mean a high rank as well as a victory over the enemies.";
"1544";"C";"Call, Appeal ";"See oneself in a dream called with a bad name,   ";"announces that it could mean concerns and disease according to the significance of this new name.";
"1545";"C";"Call, Appeal ";"See oneself in a dream called with a good name,   ";"announces that it could mean glory and honor according to the significance of this new name.";
"1546";"C";"Call, Appeal ";"Se in dream someone calling him ""Hey, Jew! "" and do not accept this,   ";"announces that it could mean happy outcome after discomfort. Indeed, Allah The Almighty said “”And ordain for us that which is good, in this life and in the Hereafter: for we have turned unto Thee."" He said: ""With My Punishment I visit whom I will; but My Mercy extendeth to all things. That (Mercy) I shall ordain for those who do right, and practice regular charity, and those who believe in Our Signs”, (Al-Araaf, 156).    ";
"1547";"C";"Call, Appeal ";"See in dream a dead calling him,   ";"announces that it could mean the approach of death in case of sickness or a call to adopt the right path if he is healthy.";
"1548";"C";"Call, Appeal ";"See in dream a dead calling him and pursue him without seeing him,   ";"announces that it could mean the approach of death or he could die as died this person.";
"1549";"C";"Call, Appeal ";"See oneself in dream hearing someone calling him from a place far away and unknown and respond to this call,   ";"announces that it could mean the approach of death.";
"1550";"C";"Camel ";"See oneself in dream sacrificing a camel,   ";"announces that he would emancipate slaves.";
"1551";"C";"Camel ";"See oneself in dream hearing the growling of the camel,   ";"announces that it could mean an important trip as pilgrimage or jihad. It could also mean a profitable business. ";
"1552";"C";"Camel ";"The woman, who sees in dream a camel,   ";"announces that it could mean marriage for the single woman. For the married woman, it is a good dream which could represent the return of the husband of a journey.  ";
"1553";"C";"Camel ";"See oneself in dream giving water to camels to drink from m an old well,   ";"announces that it could mean performing good deeds.";
"1554";"C";"Camel ";"See oneself in dream falling from stairs and get on a mount carrying a howdah and cross a distance,   ";"announces that it could mean the approach of death in case of disease.";
"1555";"C";"Camel ";"The woman, who sees herself in dream bestriding a camel,   ";"announces that it could mean the marriage for the single woman as well as for the married woman and the return of the husband in case he would be in journey. However, it could also mean a dishonor in case of indications in the dream supporting this interpretation.";
"1556";"C";"Camel ";"The woman, who sees herself in dream bestriding a docile camel,   ";"announces that it could mean the marriage for the single woman as well as the obedience of the husband for the married woman.";
"1557";"C";"Camel ";"See oneself in a dream counting camels equipped,   ";"announces that it could mean wealth for the governor, rain for the farmer and large profits for the trader.";
"1558";"C";"Camel female ";"See oneself in dream milking a camel female of Khorassan,   ";"announces that he could reign over a non-Arab region, ease, gains and a legitimate fortune for the trader. This depending on the quantity of milk seen in the dream.";
"1559";"C";"Camel female ";"See oneself in dream milking a camel female of Khorassan and observe poison in the milk,   ";"announces that he could reign over a non-Arab region. However, he could be unjust and have an illicit fortune.";
"1560";"C";"Camel female ";"See oneself in dream milking a camel female of Khorassan and observe blood in the milk,   ";"announces that he could reign over a non-Arab region. However, he could be unjust.";
"1561";"C";"Camel female ";"See oneself in dream eating meat of a camel female,   ";"announces that he could share false information with people.";
"1562";"C";"Camel female ";"See oneself in dream milking a camel female,   ";"announces that it could mean a reign over an Arab region.";
"1563";"C";"Camel female ";"See oneself in dream riding a camel female that has a docked tail,   ";"announces that it could mean a trip and he might have problems or hindrance in the way by burglars, for example.";
"1564";"C";"Camel female ";"See oneself in dream riding a fast camel female that scatters stones under his feet while running,   ";"announces that it could mean a trip.";
"1565";"C";"Camel female ";"See oneself in dream riding e a dairy camel female,   ";"announces that it could mean a virtuous wife.";
"1566";"C";"Camel female ";"See oneself in dream sucking the milk from a camel female,   ";"announces that it could mean humiliation.";
"1567";"C";"Camel female ";"See oneself in dream appropriating a camel female,   ";"announces that it could mean marriage for the single, house, land, harvest, collect of money and travel for one who has the intention.";
"1568";"C";"Camel female ";"See oneself in dream riding a camel female,   ";"announces that it could mean marriage for the single, house, land, harvest, collect of money and travel for one who has the intention.";
"1569";"C";"Camel female ";"See oneself in dream drinking milk of camel,   ";"announces that it could mean marriage to a pious woman or he would have a blessed boy.";
"1570";"C";"Camel female ";"See oneself in dream drinking milk from a dairy camel,   ";"announces that it could mean perseverance on the right path, good faith, lawful fortune, knowledge and wisdom.";
"1571";"C";"Camel female ";"See oneself in dream sucking milk three times from a dairy camel,   ";"announces that it could mean perseverance on the right path, good faith, lawful fortune, knowledge and wisdom.";
"1572";"C";"Camel female ";"See oneself in dream sucking milk once from a dairy camel,   ";"announces that it could mean perseverance on the right path, good faith, lawful fortune, knowledge and wisdom.";
"1573";"C";"Camel female ";"See oneself in dream sucking milk twice from a dairy camel,   ";"announces that it could mean perseverance on the right path, good faith, lawful fortune, knowledge and wisdom.";
"1574";"C";"Camel female ";"See in dream the milk flowing from a camel female in the great mosque,   ";"announces that it could mean prosperity, comfort, safety and as well as return of peace and quiet after unrest.";
"1575";"C";"Camel female ";"See in dream the milk flowing from a camel female in an esplanade,   ";"announces that it could mean prosperity, comfort, safety and as well as return of peace and quiet after unrest.";
"1576";"C";"Camel female ";"See in dream the milk flowing from a camel female in cultivated fields,   ";"announces that it could mean prosperity, comfort, safety and as well as return of peace and quiet after unrest.";
"1577";"C";"Camel, Small camel ";"See oneself in dream touching a small weaned camel,   ";"announces that it could mean sorrows.";
"1578";"C";"Camphor ";"The woman, who sees in dream the camphor,   ";"announces that it could involve eulogies, glory as well as an offspring. This dream could also mean peace of mind, fulfillment of good acts as well as a good situation in the hereafter.";
"1579";"C";"Candle  ";"See oneself in dream holding a candle that became extinct,   ";"announces that it could mean the dismissal to the sultan or governor and a loss for the merchant or the wealthy. Indeed, Allah The Almighty said “Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see. », (Al-Baqara, 17).";
"1580";"C";"Cane, Reed ";"See oneself in dream relying on a cane,   ";"announces that he might not live for long. It could also mean impoverishment and he could die in this state.";
"1581";"C";"Cane, Reed ";"See oneself in dream squirming a thread around a cane,   ";"announces that it could mean a travel.";
"1582";"C";"Cane, Reed ";"See oneself in dream curling a rope around a stick,   ";"announces that it could mean a trip.";
"1583";"C";"Cap, Pointed cap ";"See oneself in dream wearing on the head a pointed cap,   ";"announces that it could be well supported by his chief.";
"1584";"C";"Cap, Pointed cap ";"See oneself in dream wearing on his head a white pointed cap,   ";"announces that mean power for the one who is accustomed, otherwise this dream could mean the situation of his faith.";
"1585";"C";"Caravan ";"See oneself in a dream calling to prayer (adzan) in a caravan,   ";"announces that he could be involved in a robbery case. Indeed, Allah The Almighty said « At length when he had furnished them forth with provisions (suitable) for them, he put the drinking cup into his brother’s saddle-bag. Then shouted out a Crier: ‘’O ye (in) the Caravan! Behold! Ye are thieves, without doubt!’’», (Yoûsouf, 70).";
"1586";"C";"Care  ";"See oneself in dream guaranteeing a boy or take care of him,   ";"announces that he would give advices to an enemy. Indeed, Allah The Almighty said “And We ordained that he refused suck at first, until (his sister came up and) said: ""Shall I point out to you the people of a house that will nourish and bring him up for you and be sincerely attached to him?""....”, (Al-Qasas, 12).";
"1587";"C";"Care  ";"See oneself in dream guaranteed or taken care of by someone,   ";"announces that it could mean a big fortune. Indeed, Allah The Almighty said “Right graciously did her Lord accept her: He made her grow in purity and beauty; to the care of Zakariya was she assigned. Every time that he entered (her) chamber to see her, he found her supplied with sustenance. He said: ""O Maryam! Whence (comes) this to you?"" She said: ""From Allah: for Allah provides sustenance to whom He pleases, without measure."", (AL-Imrân, 37).";
"1588";"C";"Carnation, Dianthus ";"See oneself in dream crushing the dianthus and not feel a pleasant smell,   ";"announces that he could do good to a person who would not be grateful.";
"1589";"C";"Carnation, Dianthus ";"See oneself in dream crushing dianthus,   ";"announces that it could mean good praise. ";
"1590";"C";"Carpet ";"See in dream that his carpet was folded by others and has been placed on his shoulders to move it to an unknown place,   ";"announces that he could mean the approach of his death.";
"1591";"C";"Carpet ";"To dream a little decrepit carpet extended,   ";"announces that it could be a bad dream.";
"1592";"C";"Carpet ";"See in dream that he want to sleep on an inverted carpet,   ";"announces that it could mean a bad act or satisfaction of a desire by improper means.";
"1593";"C";"Carpet ";"See in dream a new and thick carpet extended in the presence of unknown people,   ";"announces that it could mean a change of expatriation and fortune.";
"1594";"C";"Carpet ";"See in dream his carpet burned,   ";"announces that it could mean an impediment for travel or the approach of death.";
"1595";"C";"Carpet ";"See in dream that his carpet was stolen,   ";"announces that it could mean an impediment for travel or the approach of death.";
"1596";"C";"Carpet ";"See in dream his carpet becoming thin,   ";"announces that it could mean be thinness or the approach of death.";
"1597";"C";"Carpet ";"See in dream his carpet become smaller,   ";"announces that it could mean difficulties.";
"1598";"C";"Carpet ";"See oneself in dream folding his carpet,   ";"announces that it could mean discomfort and impediments.";
"1599";"C";"Carpet ";"See oneself in dream owning a carpet folded without knowing who or how it has been,   ";"announces that it could mean discomfort.";
"1600";"C";"Carpet ";"See oneself in dream died on a carpet,   ";"announces that it could mean ease and happiness.";
"1601";"C";"Carpet ";"See in dream a carpet, wide and thin; extended,   ";"announces that it could mean ease and short life.";
"1602";"C";"Carpet ";"See in dream a small and thin carpet extended,   ";"announces that it could mean glory and difficulties.";
"1603";"C";"Carpet ";"See oneself in dream owning a carpet folded without knowing who or how it has been, then see that the carpet is extended,   ";"announces that it could mean happy outcome and ease.";
"1604";"C";"Carpet ";"See oneself in dream on a carpet,   ";"announces that it could mean happy outcome in the event of war. Otherwise, he could by a cultivated land.";
"1605";"C";"Carpet ";"See in dream a new and thick carpet extended among people that he frequents,   ";"announces that it could mean longevity and ease.";
"1606";"C";"Carpet ";"See in dream a new and thick carpet extended among known people,   ";"announces that it could mean longevity and ease.";
"1607";"C";"Carpet ";"See in dream a new and thick carpet extended during a regular meeting,   ";"announces that it could mean longevity and ease.";
"1608";"C";"Carpet ";"See in dream a new and thick carpet extended in his locality,   ";"announces that it could mean longevity and ease.";
"1609";"C";"Carpet ";"See in dream a new and thick carpet extended in his house,   ";"announces that it could mean longevity and ease.";
"1610";"C";"Carpet ";"See in dream a new and thick carpet extended in his tribe,   ";"announces that it could mean longevity and ease.";
"1611";"C";"Carpet ";"See in dream a new and thick carpet extended in his camping,   ";"announces that it could mean longevity and ease.";
"1612";"C";"Carpet ";"See in dream a new and thick carpet extended in a known place,   ";"announces that it could mean longevity and ease.";
"1613";"C";"Carpet ";"See in dream a carpet extended in front of people known,   ";"announces that it could mean sharing benefits in this place.";
"1614";"C";"Carpet ";"See in dream a carpet extended in a known place,   ";"announces that it could mean sharing benefits in this place.";
"1615";"C";"Carpet ";"See oneself in dream folding his carpet and carrying it on his shoulders to an unknown location,   ";"announces that it could mean the approach of death.";
"1616";"C";"Carpet ";"See in dream that his carpet was folded by others and has been placed on his shoulders to move it to an unknown place where he meets a deceased person actually,   ";"announces that it could mean the approach of his death.";
"1617";"C";"Carpet ";"See oneself in dream folding his carpet and carrying it to an unknown place where he meets a deceased person actually,   ";"announces that it could mean the approach of his death.";
"1618";"C";"Carrots ";"See oneself in dream having carrots,   ";"announces that it could be trouble and sorrows.";
"1619";"C";"Carrots ";"See oneself in dream taking carrots,   ";"announces that it could mean a good outcome following a difficult situation.";
"1620";"C";"Carrots ";"See oneself in dream eating carrots,   ";"announces that it could mean benefits. However it could also mean trouble and sorrows.";
"1621";"C";"Cartridge pouch ";"The woman, who sees in dream one arrow inverted in a cartridge pouch,   ";"announces that her husband could be interseted in another woman.  ";
"1622";"C";"Cartridge pouch ";"See oneself in dream receiving a cartridge pouch,   ";"announces that it could mean power, authority and prestige to enemies. It could be pious wife.";
"1623";"C";"Cassock ";"See oneself in dream wearing a cassock and holding a pen and paper,   ";"announces that he would be protected against poverty by making service to the Sovereign.";
"1624";"C";"Cassock ";"See oneself in dream wearing a cassock tinted,   ";"announces that it could mean a good non-Arab woman with whom he could have children.";
"1625";"C";"Cassock ";"See oneself in dream wearing a cassock,   ";"announces that it could mean a non-Arab woman.";
"1626";"C";"Cassock ";"The woman, who sees herself in dream wearing a cassock,   ";"announces that it could mean power, happiness and benefits It could also mean the marriage for the single woman.  ";
"1627";"C";"Cassock ";"The woman, who sees herself in dream wearing a cassock, of which the lining is in marten,   ";"announces that she would deceive her husband with a whimsical man. ";
"1628";"C";"Castle ";"See oneself in dream building a castle on the clouds,   ";"announces that he could acquire the wise who avoid him from committing sins. He could also enjoy the benefits and rewards of work done or in progress.";
"1629";"C";"Castle ";"See in dream that his feet are chained in a castle of glass,   ";"announces that he would accompany a glorious woman for a long. It could mean also that he could remain with a woman in case he would be in a travel.";
"1630";"C";"Castle ";"See oneself in dream in a cultivated orchard and see castles and water flow in streams and a woman coming towards him,   ";"announces that it could mean a martyr death as well as a happy outcome.";
"1631";"C";"Castle ";"See oneself in dream getting into a castle,   ";"announces that it could mean a significant power, consolidation of faith and benefits. Indeed, Allah The Almighty said “Blessed is He Who, if that were His Will, could give thee better (things) than those, Gardens beneath which rivers flow; and He could give thee Palaces (secure to dwell in).”, (Al-Fourqân, 10).";
"1632";"C";"Castle ";"See oneself in dream on a castle,   ";"announces that it could mean elevated rank, glory and reputation.";
"1633";"C";"Castle ";"See oneself in dream in a palace of Paradise,   ";"announces that it could mean power and marriage to a beautiful woman. Indeed, Allah The Almighty said “Companions restrained (as to their glances), in (goodly) pavilions;”, (Ar-Rahmân, 72).";
"1634";"C";"Castle ";"See in dream a part of his castle falling to its interior,   ";"announces that it could mean the marriage of a girl among his relatives or returning of an absent.";
"1635";"C";"Castle ";"See oneself in dream on the castle other people,   ";"announces that it could mean useful things and benefits from the owner of the castle.";
"1636";"C";"Castle ";"See in dream that his castle is ruined,   ";"announces that it could mean weakening of faith or the approach of death of his wife. This dream could also mean discomforts or illicit gains.";
"1637";"C";"Cat (female) ";"See oneself in dream having a wild and dangerous wild cat female,   ";"announces that it could mean pain and tiredness.";
"1638";"C";"Cat female ";"See oneself in dream drinking milk of a cat female,   ";"announces that it could an argument or slight illness.";
"1639";"C";"Cat female ";"See oneself in dream hearing the cries of pain of a cat female,   ";"announces that it could mean defamation by a servant who would be a thief.";
"1640";"C";"Cat, Wild cat ";"See in dream blood stains of a cat on his tunic,   ";"announces that he might be victim of false accusations from an unjust sovereign.";
"1641";"C";"Cat, Wild cat ";"See oneself in dream sneezing and see a cat getting out of its nose,   ";"announces that it could mean a boy who would be a thief.";
"1642";"C";"Cat, Wild cat ";"See oneself in dream bitten by a cat,   ";"announces that it he could be betrayed by a servant or get sick for a year. This is more serious if it would be a wild cat.";
